symbol,company_name,as_of_date,layer,stage,rank,score,candidate_source_path,date_verified_documents,date_unverified_documents,rejected_future_documents,web_only_stage,merged_stage,web_only_score,merged_score,promotion_delta
012450,한화에어로스페이스,2025-05-01,event_search,1,2,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
062040,산일전기,2025-05-01,event_search,1,3,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2025-06-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
012450,한화에어로스페이스,2025-06-01,event_search,1,2,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
062040,산일전기,2025-06-01,event_search,1,3,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2025-07-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
012450,한화에어로스페이스,2025-07-01,event_search,1,2,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
062040,산일전기,2025-07-01,event_search,1,3,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2025-08-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
062040,산일전기,2025-08-01,event_search,1,2,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2025-09-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
062040,산일전기,2025-09-01,event_search,1,2,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2025-10-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
062040,산일전기,2025-10-01,event_search,1,2,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2025-11-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
062040,산일전기,2025-11-01,event_search,1,2,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2025-12-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
062040,산일전기,2025-12-01,event_search,1,2,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2026-01-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
062040,산일전기,2026-01-01,event_search,1,2,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2026-02-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
001440,대한전선-like,2026-02-01,event_search,1,2,0.0,official_cheap_scan,3,0,0,0,1,0.0,0.0,0_to_1
000660,SK하이닉스,2026-03-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
001440,대한전선-like,2026-03-01,event_search,1,2,0.0,official_cheap_scan,3,0,0,0,1,0.0,0.0,0_to_1
000660,SK하이닉스,2026-04-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
001440,대한전선-like,2026-04-01,event_search,1,2,0.0,official_cheap_scan,3,0,0,0,1,0.0,0.0,0_to_1
000660,SK하이닉스,2026-05-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
001440,대한전선-like,2026-05-01,event_search,1,2,0.0,official_cheap_scan,3,0,0,0,1,0.0,0.0,0_to_1
